City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Port Keats,AU,84.31,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
480,Buala,SB,84.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
482,Tiznit,MA,83.55,overcast clouds,29.5833,-9.5,
484,Mastic Beach,US,77.29,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
485,Port Moresby,PG,84.11,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
486,Boa Vista,BR,76.98,heavy intensity rain,2.8197,-60.6733,Aipana Plaza Hotel
490,Biloela,AU,75.15,clear sky,-24.4167,150.5,Silo Motor Inn Biloela
491,Zeya,RU,76.84,broken clouds,53.75,127.2667,Kapital Inn
495,Erzin,TR,77.02,broken clouds,36.9559,36.2,Artemis Otel
496,Tura,IN,75.33,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
500,Adamas,GR,76.96,clear sky,36.7333,24.4333,Aphrodite of Milos
501,Vostok,RU,78.53,overcast clouds,46.4856,135.8833,
504,Sitio Novo Do Tocantins,BR,80.4,broken clouds,-5.5183,-47.4611,Imperial Hotel
506,Ciudad Bolivar,VE,76.86,overcast clouds,8.1222,-63.5497,Hotel Edi
510,Banff,CA,76.23,broken clouds,51.1762,-115.5698,Banff Aspen Lodge
511,Tevaitoa,PF,78.3,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
515,Griffith,US,75.06,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
518,Puerto Escondido,MX,81.41,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
522,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
523,Nogales,MX,85.71,scattered clouds,31.3086,-110.9422,Siesta Motel
526,Nishihara,JP,86.68,scattered clouds,26.1842,127.7558,Minshuku Agaihama
532,Emerald,AU,75.67,clear sky,-23.5333,148.1667,The Irish Village
533,East Hartford,US,76.05,clear sky,41.7823,-72.612,Super 8 by Wyndham Hartford
534,Palauig,PH,84.85,overcast clouds,15.435,119.9045,Villa Raphael Resort
537,Seaside,US,75.83,scattered clouds,36.6111,-121.8516,Embassy Suites by Hilton Monterey Bay Seaside
538,Mainpuri,IN,86.77,overcast clouds,27.2333,79.0167,HOTEL PALM LUXURY INN
541,Kailua,US,83.14,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
543,Labuhan,ID,81.9,scattered clouds,-6.8844,112.2051,DoubleFAG
550,Alacranes,CU,76.55,overcast clouds,22.7675,-81.5675,Hotel Union de Reyes
554,Borgosesia,IT,76.41,clear sky,45.7145,8.2799,Relax
556,Satkhira,BD,83.12,overcast clouds,22.7167,89.1,kaligonj Mass
559,Cockburn Town,TC,82.08,clear sky,21.4612,-71.1419,Osprey Beach Hotel
560,Brigantine,US,80.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
563,Balabac,PH,85.53,light rain,7.9868,117.0645,Batalla’s Lodging House
564,Warwick,US,75.49,clear sky,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
567,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Novotel Dakar
568,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
569,Sattahip,TH,86.99,scattered clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
570,Itaituba,BR,76.77,broken clouds,-4.2761,-55.9836,Hotel Campos
572,Batticaloa,LK,79.66,overcast clouds,7.7102,81.6924,Grand Star Guest House
584,Guangyuan,CN,81.07,broken clouds,32.442,105.823,Guangyuan Poetry Hotel
588,Coahuayana,MX,80.1,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
589,Santa Marta,CO,78.91,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
590,Hauterive,FR,75.96,clear sky,46.0901,3.4459,Aletti Palace Hotel
591,Zhicheng,CN,89.91,clear sky,30.2956,111.5047,Wangjiang Building
596,Sterling,US,82.53,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
597,Surt,LY,79.32,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
599,Honiara,SB,86.0,scattered clouds,-9.4333,159.95,Heritage Park Hotel
604,Karaton,ID,81.54,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
606,Remontnoye,RU,75.69,clear sky,46.5614,43.6501,Remontnoe
608,Tongliao,CN,87.87,broken clouds,43.6125,122.2653,Meirujia Hotel
609,Dumas,US,84.61,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
611,Ishigaki,JP,85.62,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
617,Paringao,PH,84.33,overcast clouds,16.5717,120.3242,Sunset Bay Beach Resort
618,Key West,US,84.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
621,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
624,Zhanaozen,KZ,77.81,few clouds,43.3,52.8,K.korabay 28A
626,Koumac,NC,76.75,broken clouds,-20.5667,164.2833,Le Monitel
627,Poum,NC,75.02,few clouds,-20.2333,164.0167,
628,Bima,ID,86.99,broken clouds,-8.4667,118.7167,Lambitu Hotel
629,Kattivakkam,IN,82.49,light rain,13.2167,80.3167,Euronova Freezer
630,Luwuk,ID,83.66,clear sky,-0.9516,122.7875,Hotel Santika Luwuk
632,Makakilo City,US,81.68,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
634,Taoudenni,ML,89.92,clear sky,22.6783,-3.9836,
642,Hillsborough,US,83.44,mist,37.5741,-122.3794,Hyatt Regency San Francisco Airport
645,Massaguet,TD,78.01,overcast clouds,12.4755,15.4365,Alwatane
647,Mahibadhoo,MV,81.84,overcast clouds,3.7833,72.9667,Omadhoo Inn
651,Portland,US,82.62,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
654,Monrovia,LR,75.25,light rain,6.3005,-10.7969,Sunset Inn
657,Zhenlai,CN,84.88,broken clouds,45.8495,123.2973,
670,Madang,PG,88.25,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
672,Elko,US,89.74,overcast clouds,41.0002,-115.5012,
675,Dasoguz,TM,76.48,clear sky,41.8363,59.9666,Hotel Erik
678,Russell,US,79.02,few clouds,32.3502,-85.1999,Macs
681,Auki,SB,85.03,few clouds,-8.7676,160.7034,Auki Motel
687,Jiazi,CN,78.93,overcast clouds,22.8779,116.067,Hotel Jin Hao
688,Greer,US,75.33,light rain,34.9387,-82.2271,Quality Inn
689,Jhelum,PK,86.52,clear sky,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
690,Sibolga,ID,75.99,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
693,Kenner,US,82.0,overcast clouds,29.9941,-90.2417,La Quinta Inn & Suites by Wyndham New Orleans Airport
